Threads	DataSet	Inner(Bad)	Inner	Outer	Collapse
1	small	3.60	2.20	2.16	2.17
2	small	4.11	1.15	1.10	1.09
3	small	4.13	0.83	0.76	0.76
4	small	4.28	0.66	0.59	0.58
5	small	4.62	0.95	0.92	0.92
6	small	4.96	0.81	0.77	0.78
7	small	5.17	0.72	0.67	0.67
8	small	5.33	0.65	0.59	0.59
1	medium	12.12	8.48	8.39	8.39
2	medium	11.88	4.42	4.24	4.25
3	medium	11.59	3.11	2.91	2.90
4	medium	11.67	2.43	2.25	2.23
5	medium	12.85	3.61	3.56	3.55
6	medium	13.35	3.04	2.97	2.97
7	medium	13.57	2.68	2.55	2.55
8	medium	13.87	2.42	2.26	2.24
1	large	27.80	20.93	20.76	20.77
2	large	24.16	10.94	10.49	10.60
3	large	22.79	7.59	7.14	7.24
4	large	22.66	5.92	5.52	5.52
5	large	25.86	8.80	8.79	8.75
6	large	25.79	7.52	7.36	7.30
7	large	25.33	6.55	6.31	6.27
8	large	24.87	5.82	5.56	5.50
